,0
0,3.18
1,3.37
2,2.27
3,2.44
4,2.88
5,2.3
6,3.01
7,3.62
8,3.18
9,2.42
10,3.25
11,4.17
12,3.72
13,2.91
14,2.76
15,2.72
16,3.43
17,3.72
18,3.35
19,2.92
20,3.57
21,3.39
22,3.55
23,4.08
24,3.14
25,3.5
26,3.14
27,4.28
28,3.73
29,3.84
30,3.91
31,2.98
32,3.33
33,3.06
34,3.6
35,3.64
36,3.5
37,4.35
38,4.81
39,3.78
40,4.11
41,3.23
42,4.47
43,4.19
44,2.33
45,4.49
46,3.77
47,3.75
48,3.22
49,3.66
50,2.84
51,4.3
52,3.28
53,3.85
54,3.64
55,3.28
56,3.62
57,3.66
58,4.49
59,4.26
60,2.8
61,4.7
62,4.22
63,2.7
64,3.83
65,4.45
66,2.45
67,2.91
68,3.75
69,4.51
70,3.07
71,3.92
72,3.91
73,5.18
74,3.84
75,4.69
76,3.51
77,2.97
78,3.33
79,4.92
80,4.2
81,5.1
82,2.83
83,4.0
84,4.22
85,4.15
86,4.82
87,4.09
88,3.61
89,4.22
90,3.8
91,5.34
92,3.0
93,4.63
94,4.81
95,4.46
96,5.0
97,4.92
98,5.11
99,4.02
100,4.39
101,4.64
102,2.62
103,4.41
104,5.26
105,4.22
106,3.88
107,4.58
108,3.73
109,4.17
110,4.99
111,4.47
112,1.85
113,5.34
114,4.72
115,6.13
116,4.07
117,5.48
118,5.08
119,5.1
120,4.07
121,3.4
122,3.68
123,5.78
124,5.13
125,3.47
126,3.73
127,5.47
128,4.64
129,3.23
130,4.17
131,4.23
132,4.31
133,3.29
134,4.07
135,4.66
136,4.08
137,4.65
138,4.56
139,5.32
140,4.31
141,4.49
142,4.53
143,5.49
144,5.15
145,3.82
146,4.73
147,4.98
148,5.95
149,4.11
150,6.55
151,5.98
152,4.99
153,5.56
154,4.92
155,3.83
156,4.5
157,5.72
158,5.15
159,3.95
160,4.68
161,4.95
162,4.84
163,4.25
164,4.07
165,5.4
166,5.42
167,4.83
168,4.13
169,4.92
170,5.32
171,4.27
172,5.02
173,6.79
174,5.79
175,5.0
176,5.06
177,4.5
178,5.62
179,7.51
180,6.34
181,4.82
182,5.49
183,4.71
184,6.21
185,7.57
186,6.23
187,8.4
188,4.54
189,3.91
190,5.87
191,4.94
192,6.13
193,6.66
194,5.69
195,6.6
196,8.54
197,5.58
198,8.54
199,6.41
200,4.38
201,6.12
202,4.98
203,5.68
204,5.94
205,6.8
206,6.75
207,2.35
208,2.28
209,2.4
210,2.4
211,3.17
212,3.0
213,2.41
214,2.83
215,3.47
216,2.94
217,2.79
218,3.21
219,2.82
220,3.49
221,3.32
222,2.88
223,3.45
224,3.32
225,2.88
226,3.21
227,3.49
228,3.47
229,3.39
230,2.89
231,3.67
232,2.74
233,3.51
234,3.74
235,3.69
236,3.79
237,3.12
238,3.83
239,4.68
240,3.56
241,4.67
242,3.18
243,3.95
244,3.59
245,4.37
246,3.75
247,2.31
248,3.22
249,3.07
250,4.4
251,4.72
252,4.33
253,4.92
254,3.54
255,3.69
256,3.29
257,3.52
258,4.25
259,3.28
260,3.47
261,4.8
262,2.92
263,3.38
264,4.21
265,3.14
266,4.3
267,3.68
268,4.46
269,4.43
270,4.75
271,3.69
272,3.01
273,3.62
274,4.0
275,3.39
276,3.97
277,4.68
278,4.4
279,4.16
280,4.25
281,4.55
282,3.38
283,3.62
284,2.95
285,3.83
286,3.66
287,3.7
288,4.61
289,3.77
290,2.71
291,3.62
292,4.06
293,3.73
294,4.33
295,4.46
296,4.82
297,1.64
298,4.47
299,4.47
300,5.05
301,3.38
302,5.25
303,3.51
304,3.64
305,3.77
306,3.86
307,3.49
308,4.45
309,4.45
310,4.62
311,4.43
312,5.23
313,4.04
314,4.14
315,3.6
316,4.74
317,3.38
318,4.43
319,4.76
320,4.84
321,4.14
322,5.52
323,3.3
324,4.0
325,2.96
326,6.41
327,3.7
328,4.47
329,4.63
330,4.89
331,4.9
332,3.42
333,5.0
334,4.27
335,2.75
336,6.03
337,4.09
338,4.66
339,4.21
340,5.57
341,3.48
342,5.35
343,4.03
344,4.32
345,3.7
346,3.53
347,6.5
348,4.82
349,5.09
350,5.13
351,3.88
352,3.71
353,3.98
354,4.08
355,5.64
356,4.93
357,5.01
358,6.75
359,5.15
360,4.44
361,5.79
362,4.68
363,4.73
364,4.72
365,5.12
366,6.4
367,5.36
368,4.43
369,3.69
370,4.79
371,5.3
372,3.0
373,3.68
374,4.26
375,5.08
376,6.67
377,3.22
378,4.49
379,5.23
380,5.3
381,5.88
382,3.63
383,4.33
384,5.12
385,4.04
386,5.7
387,5.27
388,4.75
389,5.19
390,5.74
391,6.64
392,5.05
393,5.54
394,4.5
395,3.86
396,4.99
397,5.48
398,5.72
399,2.83
400,7.05
401,5.71
402,6.06
403,4.2
404,8.15
405,4.42
406,5.87
407,7.25
408,4.19
409,7.41
410,7.01
411,5.91
412,8.9
413,10.69
414,5.07
415,2.64
416,3.06
417,2.53
418,2.89
419,3.16
420,3.48
421,2.73
422,3.05
423,3.9
424,3.05
425,3.74
426,2.56
427,2.78
428,3.37
429,3.38
430,3.16
431,3.33
432,3.94
433,3.52
434,3.47
435,3.29
436,3.51
437,3.45
438,3.86
439,3.32
440,2.94
441,2.86
442,3.81
443,2.79
444,1.57
445,2.81
446,3.74
447,4.59
448,3.55
449,3.64
450,3.48
451,3.72
452,3.76
453,4.93
454,3.74
455,3.37
456,3.38
457,3.76
458,3.81
459,3.78
460,3.83
461,3.43
462,3.43
463,3.92
464,4.25
465,3.4
466,3.68
467,4.49
468,4.71
469,4.02
470,3.78
471,3.54
472,3.81
473,2.96
474,4.82
475,4.48
476,5.09
477,3.74
478,4.02
479,3.61
480,3.43
481,4.03
482,4.07
483,3.66
484,4.19
485,3.97
486,4.65
487,3.37
488,4.29
489,3.24
490,4.2
491,4.33
492,4.03
493,4.79
494,3.97
495,3.99
