
Year	Pitcher	Team	Record[B]	Saves[C]	ERA	K's
1967	Jim Lonborg	Boston Red Sox	22–9	0	3.16	246
1968	Denny McLain	Detroit Tigers	31–6	0	1.96	280
1969	Mike Cuellar	Baltimore Orioles	23–11	0	2.38	182
1969	Denny McLain	Detroit Tigers	24–9	0	2.80	181
1970	Jim Perry	Minnesota Twins	24–12	0	3.04	168
1971	Vida Blue	Oakland Athletics	24–8	0	1.82	301
1972	Gaylord Perry	Cleveland Indians	24–16	1	1.92	234
1973	Jim Palmer	Baltimore Orioles	22–9	1	2.40	168
1974	Catfish Hunter	Oakland Athletics	25–12	0	2.49	143
1975	Jim Palmer	Baltimore Orioles	23–11	1	2.09	193
1976	Jim Palmer	Baltimore Orioles	22–13	0	2.51	159
1977	Sparky Lyle	New York Yankees	13–5	26	2.17	68
1978	Ron Guidry	New York Yankees	25–3	0	1.74	248
1979	Mike Flanagan	Baltimore Orioles	23–9	0	3.08	190
1980	Steve Stone	Baltimore Orioles	25–7	0	3.23	149
1981	Rollie Fingers	Milwaukee Brewers	6–3	28	1.04	61
1982	Pete Vuckovich	Milwaukee Brewers	18–6	0	3.34	105
1983	LaMarr Hoyt	Chicago White Sox	24–10	0	3.66	148
1984	Willie Hernandez	Detroit Tigers	9–3	32	1.92	112
1985	Bret Saberhagen	Kansas City Royals	20–6	0	2.87	158
1986	Roger Clemens	Boston Red Sox	24–4	0	2.48	238
1987	Roger Clemens	Boston Red Sox	20–9	0	2.97	256
1988	Frank Viola	Minnesota Twins	24–7	0	2.64	193
1989	Bret Saberhagen	Kansas City Royals	23–6	0	2.16	193
1990	Bob Welch	Oakland Athletics	27–6	0	2.95	127
1991	Roger Clemens	Boston Red Sox	18–10	0	2.62	241
1992	Dennis Eckersley	Oakland Athletics	7–1	51	1.91	93
1993	Jack McDowell	Chicago White Sox	22–10	0	3.37	158
1994	David Cone	Kansas City Royals	16–5	0	2.94	132
1995	Randy Johnson	Seattle Mariners	18–2	0	2.48	294
1996	Pat Hentgen	Toronto Blue Jays	20–10	0	3.22	177
1997	Roger Clemens	Toronto Blue Jays	21–7	0	2.05	292
1998	Roger Clemens	Toronto Blue Jays	20–6	0	2.65	271
1999	Pedro Martinez	Boston Red Sox	23–4	0	2.07	313
2000	Pedro Martinez	Boston Red Sox	18–6	0	1.74	284
2001	Roger Clemens	New York Yankees	20–3	0	3.51	213
2002	Barry Zito	Oakland Athletics	23–5	0	2.75	182
2003	Roy Halladay	Toronto Blue Jays	22–7	0	3.25	204
2004	Johan Santana	Minnesota Twins	20–6	0	2.61	265
2005	Bartolo Colon	Los Angeles Angels of Anaheim	21–8	0	3.48	157
2006	Johan Santana	Minnesota Twins	19–6	0	2.77	265
2007	CC Sabathia	Cleveland Indians	19–7	0	3.21	209
2008	Cliff Lee	Cleveland Indians	22–3	0	2.54	170
2009	Zack Greinke	Kansas City Royals	16–8	0	2.16	242
2010	Felix Hernandez	Seattle Mariners	13–12	0	2.27	232
2011	Justin Verlander	Detroit Tigers	24–5	0	2.40	250
2012	David Price	Tampa Bay Rays	20–5	0	2.56	205
2013	Max Scherzer	Detroit Tigers	21–3	0	2.90	240
2014	Corey Kluber	Cleveland Indians	18–9	0	2.44	269
2015	Dallas Keuchel	Houston Astros	20–8	0	2.48	216
2016	Rick Porcello	Boston Red Sox	22–4	0	3.15	189
2017	Corey Kluber	Cleveland Indians	18–4	0	2.25	265
2018	Blake Snell	Tampa Bay Rays	21–5	0	1.89	221
2019	Justin Verlander	Houston Astros	21–6	0	2.58	300

